,P e r i n g k a t,P e r i n g k a t,N e g a r a,I P M,I P M
120,117,(1),Kepulauan Marshall,0.698,0.002
121,118,,Vietnam,0.693,0.003
122,119,,Palestina,0.690,0.001
123,120,,Irak,0.689,0.005
124,121,,Maroko,0.676,0.001
125,122,,Kirgizstan,0.674,0.003
126,123,,Guyana,0.670,0.002
127,124,,El Salvador,0.667,0.002
128,125,(1),Tajikistan,0.656,0.005
129,126,(2),Tanjung Verde,0.651,0.004
130,126,(1),Guatemala,0.651,0.002
131,126,(1),Nikaragua,0.651,0.002
132,129,,India,0.647,0.004
133,130,(1),Namibia,0.645,0.002
134,131,,Timor Leste,0.626,0.002
135,132,(1),Honduras,0.623,0.002
136,132,,Kiribati,0.623,
137,134,,Bhutan,0.617,0.002
138,135,(1),Bangladesh,0.614,0.005
139,135,,Mikronesia,0.614,0.002
140,137,(2),Sao Tome dan Principe,0.609,0.006
141,138,(2),Republik Kongo,0.608,0.001
142,138,(1),Eswatini,0.608,0.005
143,140,,Laos,0.604,0.002
144,141,,Vanuatu,0.597,0.002
145,142,,Ghana,0.596,0.005
146,143,(1),Zambia,0.591,0.002
147,144,(1),Guinea Khatulistiwa,0.588,0.002
148,145,(1),Myanmar,0.584,0.007
149,146,(1),Kamboja,0.581,0.003
150,147,(1),Kenya,0.579,0.005
151,147,(1),Nepal,0.579,0.005
152,149,(2),Angola,0.574,0.002
153,150,,Kamerun,0.563,0.003
154,150,(3),Zimbabwe,0.563,0.010
155,152,(1),Pakistan,0.560,0.002
156,153,(1),Kepulauan Solomon,0.557,0.002
157,PEMBANGUNAN MANUSIA RENDAH,PEMBANGUNAN MANUSIA RENDAH,PEMBANGUNAN MANUSIA RENDAH,PEMBANGUNAN MANUSIA RENDAH,PEMBANGUNAN MANUSIA RENDAH
158,154,,Suriah,0.549,0.005
159,155,,Papua Nugini,0.543,
160,156,,Komoro,0.538,0.001
161,157,(1),Rwanda,0.536,0.007
162,158,(1),Nigeria,0.534,0.001
163,159,(1),Tanzania,0.528,0.006
164,159,(1),Uganda,0.528,0.006
165,161,(2),Mauritania,0.527,0.003
166,162,,Madagaskar,0.521,0.003
167,163,,Benin,0.520,0.005
168,164,,Lesotho,0.518,0.004
169,165,,Pantai Gading,0.516,0.004
170,166,,Senegal,0.514,0.004
171,167,,Togo,0.513,0.003
172,168,,Sudan,0.507,
173,169,,Haiti,0.503,0.002
174,170,,Afghanistan,0.496,0.003
175,171,,Djibouti,0.495,0.003
176,172,,Malawi,0.485,0.003
177,173,,Ethiopia,0.470,0.004
178,174,(3),Gambia,0.466,0.007
179,174,(2),Guinea,0.466,0.003
180,176,(3),Liberia,0.465,0.001
181,177,(2),Yaman,0.463,
182,178,(1),Guinea-Bissau,0.461,0.001
183,179,,Republik Demokratik Kongo,0.459,0.003
184,180,,Mozambik,0.446,0.004
185,181,,Sierra Leone,0.438,0.003
186,182,(1),Burkina Faso,0.434,0.005
187,182,,Eritrea,0.434,0.003
188,184,,Mali,0.427,0.001
189,185,,Burundi,0.423,0.002
190,186,,Sudan Selatan,0.413,0.001
191,187,,Chad,0.401,
192,188,,Afrika Tengah,0.381,0.005
193,189,,Niger,0.377,0.004
