,P e r i n g k a t   t a h u n   2 0 1 2,K o t a,N e g a r a   b a g i a n [ 2 ],P e r k i r a a n   t a h u n   2 0 1 2,S e n s u s   t a h u n   2 0 1 2,P e r u b a h a n,L u a s   l a h a n   t a h u n   2 0 1 0,K e p a d a t a n   p e n d u d u k   t a h u n   2 0 1 0,A N S I,L e t a k
81,82,Madison,Wisconsin,,,"style=""text-align:right;""|233.209",240.323,"+3,05%",198.882 km2,"1,173 km−2"
82,83,Durham,North Carolina,,,"style=""text-align:right;""|228.330",239.358,"+4,83%",278.088 km2,821 km−2
83,84,Lubbock,Texas,,,"style=""text-align:right;""|229.573",236.065,"+2,83%",317.041 km2,724 km−2
84,85,Winston–Salem,North Carolina,,,"style=""text-align:right;""|229.617",234.349,"+2,06%",343.041 km2,669 km−2
85,86,Garland,Texas,,,"style=""text-align:right;""|226.876",233.564,"+2,95%",147.849 km2,"1,535 km−2"
86,87,Glendale,Arizona,,,"style=""text-align:right;""|226.721",232.143,"+2,39%",155.337 km2,"1,460 km−2"
87,88,Hialeah,Florida,,,"style=""text-align:right;""|224.669",231.941,"+3,24%",55.555 km2,"4,044 km−2"
88,89,Reno,Nevada,,,"style=""text-align:right;""|225.221",231.027,"+2,58%",266.793 km2,844 km−2
89,90,Baton Rouge[17],Louisiana,,,"style=""text-align:right;""|229.493",230.058,"+0,25%",199.292 km2,"1,152 km−2"
90,91,Irvine,California,,,"style=""text-align:right;""|212.375",229.985,"+8,29%",171.214 km2,"1,240 km−2"
91,92,Chesapeake[12],Virginia,,,"style=""text-align:right;""|222.209",228.417,"+2,79%",882.669 km2,252 km−2
92,93,Irving,Texas,,,"style=""text-align:right;""|216.290",225.427,"+4,22%",173.574 km2,"1,246 km−2"
93,94,Scottsdale,Arizona,,,"style=""text-align:right;""|217.385",223.514,"+2,82%",476.350 km2,456 km−2
94,95,North Las Vegas,Nevada,,,"style=""text-align:right;""|216.961",223.491,"+3,01%",262.483 km2,827 km−2
95,96,Fremont,California,,,"style=""text-align:right;""|214.089",221.986,"+3,69%",200.618 km2,"1,067 km−2"
96,97,Gilbert[18],Arizona,,,"style=""text-align:right;""|208.453",221.140,"+6,09%",176.023 km2,"1,184 km−2"
97,98,San Bernardino,California,,,"style=""text-align:right;""|209.924",213.295,"+1,61%",153.330 km2,"1,369 km−2"
98,99,Boise[19],Idaho,,,"style=""text-align:right;""|205.671",212.303,"+3,22%",205.551 km2,"1,001 km−2"
99,100,Birmingham,Alabama,,,"style=""text-align:right;""|212.237",212.038,"−0,09%",378.311 km2,561 km−2
100,101,Rochester,New York,,,"style=""text-align:right;""|210.565",210.532,"−0,02%",92.672 km2,"2,272 km−2"
101,102,Richmond[12],Virginia,,,"style=""text-align:right;""|204.214",210.309,"+2,98%",154.895 km2,"1,318 km−2"
102,103,Spokane,Washington,,,"style=""text-align:right;""|208.916",209.525,"+0,29%",153.448 km2,"1,361 km−2"
103,104,Des Moines,Iowa,,,"style=""text-align:right;""|203.433",206.688,"+1,60%",209.451 km2,971 km−2
104,105,Montgomery,Alabama,,,"style=""text-align:right;""|205.764",205.293,"−0,23%",413.272 km2,498 km−2
105,106,Modesto,California,,,"style=""text-align:right;""|201.165",203.547,"+1,18%",95.486 km2,"2,107 km−2"
106,107,Fayetteville,North Carolina,,,"style=""text-align:right;""|200.564",202.103,"+0,77%",377.736 km2,531 km−2
107,108,Tacoma,Washington,,,"style=""text-align:right;""|198.397",202.010,"+1,82%",128.777 km2,"1,541 km−2"
108,109,Shreveport,Louisiana,,,"style=""text-align:right;""|199.311",201.867,"+1,28%",272.920 km2,730 km−2
109,110,Fontana,California,,,"style=""text-align:right;""|196.069",201.812,"+2,93%",109.899 km2,"1,784 km−2"
110,111,Oxnard,California,,,"style=""text-align:right;""|197.899",201.555,"+1,85%",69.656 km2,"2,841 km−2"
111,112,Aurora,Illinois,,,"style=""text-align:right;""|197.899",199.932,"+1,03%",116.384 km2,"1,700 km−2"
112,113,Moreno Valley,California,,,"style=""text-align:right;""|193.365",199.552,"+3,20%",132.800 km2,"1,456 km−2"
113,114,Akron,Ohio,,,"style=""text-align:right;""|199.110",198.549,"−0,28%",160.664 km2,"1,239 km−2"
114,115,Yonkers,New York,,,"style=""text-align:right;""|195.976",198.449,"+1,26%",46.651 km2,"4,201 km−2"
115,116,Columbus[20],Georgia,,,"style=""text-align:right;""|189.885",198.413,"+4,49%",560.435 km2,339 km−2
116,117,Augusta[21],Georgia,,,"style=""text-align:right;""|195.844",197.872,"+1,04%",783.404 km2,250 km−2
117,118,Little Rock,Arkansas,,,"style=""text-align:right;""|193.524",196.537,"+1,56%",308.726 km2,627 km−2
118,119,Amarillo,Texas,,,"style=""text-align:right;""|190.695",195.250,"+2,39%",257.641 km2,740 km−2
119,120,Mobile,Alabama,,,"style=""text-align:right;""|195.111",194.822,"−0,15%",360.290 km2,542 km−2
120,121,Huntington Beach,California,,,"style=""text-align:right;""|189.992",194.708,"+2,48%",69.278 km2,"2,742 km−2"
121,122,Glendale,California,,,"style=""text-align:right;""|191.719",194.478,"+1,44%",78.874 km2,"2,431 km−2"
122,123,Grand Rapids,Michigan,,,"style=""text-align:right;""|188.040",190.411,"+1,26%",114.984 km2,"1,635 km−2"
123,124,Salt Lake City,Utah,,,"style=""text-align:right;""|186.440",189.314,"+1,54%",287.773 km2,648 km−2
124,125,Tallahassee,Florida,,,"style=""text-align:right;""|181.376",186.971,"+3,08%",259.638 km2,699 km−2
125,126,Huntsville,Alabama,,,"style=""text-align:right;""|180.105",183.739,"+2,02%",541.447 km2,333 km−2
126,127,Worcester,Massachusetts,,,"style=""text-align:right;""|181.045",182.669,"+0,90%",96.790 km2,"1,870 km−2"
127,128,Knoxville,Tennessee,,,"style=""text-align:right;""|178.874",182.200,"+1,86%",255.167 km2,701 km−2
128,129,Grand Prairie,Texas,,,"style=""text-align:right;""|175.396",181.824,"+3,66%",186.750 km2,939 km−2
129,130,Newport News[12],Virginia,,,"style=""text-align:right;""|180.719",180.726,,177.968 km2,"1,015 km−2"
130,131,Brownsville,Texas,,,"style=""text-align:right;""|175.023",180.097,"+2,90%",342.734 km2,511 km−2
131,132,Santa Clarita,California,,,"style=""text-align:right;""|176.320",179.013,"+1,53%",136.535 km2,"1,291 km−2"
132,133,Overland Park,Kansas,,,"style=""text-align:right;""|173.372",178.919,"+3,20%",193.839 km2,894 km−2
133,134,Providence,Rhode Island,,,"style=""text-align:right;""|178.042",178.432,"+0,22%",47.656 km2,"3,736 km−2"
134,135,Jackson,Mississippi,,,"style=""text-align:right;""|173.514",175.437,"+1,11%",287.608 km2,603 km−2
135,136,Garden Grove,California,,,"style=""text-align:right;""|170.883",174.389,"+2,05%",46.467 km2,"3,677 km−2"
136,137,Oceanside,California,,,"style=""text-align:right;""|167.086",171.293,"+2,52%",106.798 km2,"1,565 km−2"
137,138,Chattanooga,Tennessee,,,"style=""text-align:right;""|167.674",171.279,"+2,15%",355.222 km2,472 km−2
138,139,Fort Lauderdale,Florida,,,"style=""text-align:right;""|165.521",170.747,"+3,16%",90.042 km2,"1,838 km−2"
139,140,Rancho Cucamonga,California,,,"style=""text-align:right;""|165.269",170.746,"+3,31%",103.212 km2,"1,601 km−2"
140,141,Santa Rosa,California,,,"style=""text-align:right;""|167.815",170.685,"+1,71%",106.950 km2,"1,569 km−2"
141,142,Port St. Lucie,Florida,,,"style=""text-align:right;""|164.603",168.716,"+2,50%",295.136 km2,558 km−2
142,143,Ontario,California,,,"style=""text-align:right;""|163.924",167.211,"+2,01%",129.345 km2,"1,267 km−2"
143,144,Tempe,Arizona,,,"style=""text-align:right;""|161.719",166.842,"+3,17%",103.416 km2,"1,564 km−2"
144,145,Vancouver,Washington,,,"style=""text-align:right;""|161.791",165.489,"+2,29%",120.322 km2,"1,345 km−2"
145,146,Springfield,Missouri,,,"style=""text-align:right;""|159.498",162.191,"+1,69%",211.654 km2,754 km−2
146,147,Cape Coral,Florida,,,"style=""text-align:right;""|154.305",161.248,"+4,50%",273.691 km2,564 km−2
147,148,Pembroke Pines[22],Florida,,,"style=""text-align:right;""|154.019",160.306,"+4,08%",85.790 km2,"1,804 km−2"
148,149,Sioux Falls,South Dakota,,,"style=""text-align:right;""|153.888",159.908,"+3,91%",188.977 km2,814 km−2
149,150,Peoria,Arizona,,,"style=""text-align:right;""|154.065",159.789,"+3,72%",451.704 km2,341 km−2
150,151,Lancaster,California,,,"style=""text-align:right;""|156.633",159.055,"+1,55%",244.175 km2,641 km−2
151,152,Elk Grove,California,,,"style=""text-align:right;""|153.015",159.038,"+3,94%",109.271 km2,"1,400 km−2"
152,153,Corona,California,,,"style=""text-align:right;""|152.374",158.391,"+3,95%",100.558 km2,"1,515 km−2"
153,154,Eugene,Oregon,,,"style=""text-align:right;""|156.185",157.986,"+1,15%",113.241 km2,"1,379 km−2"
154,155,Salem,Oregon,,,"style=""text-align:right;""|154.637",157.429,"+1,81%",124.049 km2,"1,247 km−2"
155,156,Palmdale,California,,,"style=""text-align:right;""|152.750",155.650,"+1,90%",274.439 km2,557 km−2
156,157,Salinas,California,,,"style=""text-align:right;""|150.441",154.484,"+2,69%",60.033 km2,"2,506 km−2"
157,158,Springfield,Massachusetts,,,"style=""text-align:right;""|153.060",153.552,"+0,32%",82.530 km2,"1,855 km−2"
158,159,Pasadena,Texas,,,"style=""text-align:right;""|149.043",152.272,"+2,17%",110.754 km2,"1,346 km−2"
159,160,Rockford,Illinois,,,"style=""text-align:right;""|152.871",150.843,"−1,33%",158.200 km2,966 km−2
160,161,Pomona,California,,,"style=""text-align:right;""|149.058",150.812,"+1,18%",59.444 km2,"2,508 km−2"
161,162,Hayward,California,,,"style=""text-align:right;""|144.186",149.392,"+3,61%",117.386 km2,"1,228 km−2"
162,163,Fort Collins,Colorado,,,"style=""text-align:right;""|143.986",148.612,"+3,21%",140.578 km2,"1,024 km−2"
163,164,Joliet,Illinois,,,"style=""text-align:right;""|147.433",148.268,"+0,57%",160.874 km2,916 km−2
164,165,Escondido,California,,,"style=""text-align:right;""|143.911",147.575,"+2,55%",95.345 km2,"1,509 km−2"
165,166,Kansas City[23],Kansas,,,"style=""text-align:right;""|145.786",147.268,"+1,02%",323.256 km2,451 km−2
166,167,Torrance,California,,,"style=""text-align:right;""|145.438",147.027,"+1,09%",53.038 km2,"2,742 km−2"
167,168,Bridgeport,Connecticut,,,"style=""text-align:right;""|144.229",146.425,"+1,52%",41.372 km2,"3,486 km−2"
168,169,Alexandria[12],Virginia,,,"style=""text-align:right;""|139.966",146.294,"+4,52%",38.920 km2,"3,596 km−2"
169,170,Sunnyvale,California,,,"style=""text-align:right;""|140.081",146.197,"+4,37%",56.947 km2,"2,460 km−2"
170,171,Cary[24],North Carolina,,,"style=""text-align:right;""|135.234",145.693,"+7,73%",140.754 km2,961 km−2
171,172,Lakewood,Colorado,,,"style=""text-align:right;""|142.980",145.516,"+1,77%",111.060 km2,"1,287 km−2"
172,173,Hollywood,Florida,,,"style=""text-align:right;""|140.768",145.236,"+3,17%",70.879 km2,"1,986 km−2"
173,174,Paterson,New Jersey,,,"style=""text-align:right;""|146.199",145.219,"−0,67%",21.829 km2,"6,697 km−2"
174,175,Syracuse,New York,,,"style=""text-align:right;""|145.170",144.170,"−0,69%",64.862 km2,"2,238 km−2"
175,176,Naperville,Illinois,,,"style=""text-align:right;""|141.853",143.684,"+1,29%",100.412 km2,"1,413 km−2"
176,177,McKinney,Texas,,,"style=""text-align:right;""|131.117",143.223,"+9,23%",161.120 km2,814 km−2
177,178,Mesquite,Texas,,,"style=""text-align:right;""|139.824",143.195,"+2,41%",119.194 km2,"1,173 km−2"
178,179,Clarksville,Tennessee,,,"style=""text-align:right;""|132.929",142.519,"+7,21%",252.789 km2,526 km−2
