,N e g a r a   b a g i a n,1 7 8 8,1 7 9 2,1 7 9 6 1 8 0 0,1 8 0 4 1 8 0 8,1 8 1 2,1 8 1 6,1 8 2 0,1 8 2 4 1 8 2 8,1 8 3 2,1 8 3 6 1 8 4 0,1 8 4 4,1 8 4 8,1 8 5 2 1 8 5 6,1 8 6 0,1 8 6 4,1 8 6 8,1 8 7 2,1 8 7 6 1 8 8 0,1 8 8 4 1 8 8 8,1 8 9 2,1 8 9 6 1 9 0 0,1 9 0 4,1 9 0 8,1 9 1 2 1 9 1 6 1 9 2 0 1 9 2 4 1 9 2 8,1 9 3 2 1 9 3 6 1 9 4 0,1 9 4 4 1 9 4 8,1 9 5 2 1 9 5 6,1 9 6 0,1 9 6 4 1 9 6 8,1 9 7 2 1 9 7 6 1 9 8 0,1 9 8 4 1 9 8 8,1 9 9 2 1 9 9 6 2 0 0 0,2 0 0 4 2 0 0 8,2 0 1 2 2 0 1 6 2 0 2 0
42,Tennessee,,,6.0,5.0,8.0,8.0,9.0,11.0,15.0,15.0,13.0,13.0,12.0,12.0,0.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,11.0,11.0,11,10,11,11,11,11
43,Texas,,,,,,,,,,,,4.0,4.0,4.0,0.0,0.0,8.0,8.0,13.0,15.0,15.0,18.0,18.0,20.0,23.0,23.0,24.0,24.0,25,26,29,32,34,38
44,Utah,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4,4,5,5,5,6
45,Vermont,,8.0,8.0,6.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3
46,Virginia,24.0,42.0,42.0,24.0,25.0,25.0,25.0,24.0,23.0,23.0,17.0,17.0,15.0,15.0,0.0,0.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,12,12,12,13,13,13
47,Washington,,,,,,,,,,,,,,,,,,,,4.0,4.0,5.0,5.0,7.0,8.0,8.0,9.0,9.0,9,9,10,11,11,12
48,West Virginia,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7,6,6,5,5,5
49,Wisconsin,,,,,,,,,,,,4.0,5.0,5.0,8.0,8.0,10.0,10.0,11.0,12.0,12.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12,11,11,11,10,10
50,Wyoming,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3
51,Total elektor,162.0,270.0,276.0,176.0,218.0,221.0,235.0,261.0,288.0,294.0,275.0,290.0,296.0,303.0,234.0,294.0,366.0,369.0,401.0,444.0,447.0,476.0,483.0,531.0,531.0,531.0,531.0,537.0,538,538,538,538,538,538
