,N o m o r,B a h a s a   G a l e l a,B a h a s a   I n d o n e s i a
147,147.,ugu,paha
148,148.,pupuku,lutut
149,149.,toko magosi,betis
150,150.,dohu,kaki
151,151.,raraga,jari
152,152.,dohu maawa,jempol
153,153.,gitipi,kuku
154,154.,guluhi,pantat
155,155.,lake,daging
156,156.,kusi-kusi,jantung
157,157.,gate,hati
158,158.,toto,usus
159,159.,au,darah
160,160.,kahi,kulit
161,161.,papanga,siku
162,152.,gia mabubuku,pergelangan tangan
163,163.,wange,matahari
164,164.,ngoosa,bulan
165,165.,ake,air
166,166.,muura,hujan
167,167.,teto,batu
168,168.,tona,tanah
169,169.,lobi,awan
170,170.,dopo,asap
171,171.,uku,api
172,172.,dowongi,pasir
173,173.,kapo,debu
174,174.,sawala,merah
175,175.,bolemasoka,hijau
176,176.,kurati,kuning
177,177.,daare,putih
178,178.,jaro/kotu,hitam
179,179.,kibisi/bisi,biru
180,180.,puputu,malam
181,181.,langi,pagi
182,182.,datebi,siang
183,183.,imadaka,petang
184,184.,wange ibolote,fajar
185,185.,wange ibao,matahari terbit
186,186.,wange itum,matahari terbenam
187,187.,sahu,panas
188,188.,alo,dingin
189,189.,dagasi,buruh
190,190.,loha,baik/cantik/indah
191,191.,pesa,basah
192,192.,dudu,kering
193,193.,hiwa,kosong
194,194.,wedo,penuh
195,195.,mil,utara
196,196.,sara,selatan
197,197.,wange madum,barat
198,198.,wange masiwa,timur
199,199.,meme,ibu
200,200.,baba,ayah
201,201.,ria,kakak laki-laki
202,202.,bira,kakak perempuan
203,203.,nongoru,adik
204,204.,epejou,saudara ibu laki-laki
205,205.,jaru,saudara ibu perempuan
206,206.,baba dodo/baba ria,saudara ayah laki-laki
207,207.,oa,saudara ayah perempuan
208,208.,ede,nenek
209,209.,dapu,ipar
210,210.,modokaldoroa,menantu laki-laki/perempuan
211,211.,toroa,mertua
212,212.,jaro,tiang
213,213.,boberesu,dinding
214,214.,ngora,pintu
215,215.,jangela,jendela
216,216.,katu,atap
217,217.,hito,dapur
218,218.,tora,kasau
219,219.,hiwa/wa,tidak
220,220.,ngeko,jalan
221,221.,tala,gunung
222,222.,boro,telur
223,223.,punu,kenyang
224,224.,sapi,lapar
225,225.,tahu,rumah
226,226.,ngihi,bilik
227,227.,dangi,tempat tidur
228,228.,gandaria,ruang tamu
229,229.,dodai mangihi,rak piring
230,230.,rube,tempayan
231,231.,gogunange,cetakan sagu
232,232.,daloha,cantik
233,233.,dagasi,jelek
234,234.,saki,gemuk
235,235.,timisi,pendek
236,236.,punu,kenyang
237,237.,sapi,sapi/hewan
238,238.,tatate,tapisan/ayakan
239,239.,tutu-tutu,cucuran
240,240.,boso,wajan
241,241.,kawali,periuk
242,242.,jungutu,tikar
243,243.,momodo,lelah
244,244.,magae,rajin
245,245.,busenge,malas
246,246.,tai-tai,cepat
247,247.,temehe,lambat
248,248.,cawaro,pandai
249,249.,fuma,dungu
250,250.,idodo,jernih
251,251.,johu,kasur
252,252.,togoi,keras
253,253.,kipiri,tebal
254,254.,hina,tipis
255,255.,lodi,pedas
256,256.,tirine,gemetar
257,257.,gogololo,bantal guling
258,258.,gogerena,bantal kepala
259,259.,kamanu,tombak
260,260.,garagaji,gergaji
261,261.,timoloha,senang
262,262.,kangela,susah
263,273.,tomole,berani
264,264.,modo,takut
265,265.,kasai,kentang
266,266.,daare,putih
267,267.,tatusa,tombak ikan
268,268.,loloha,pekarangan
269,269.,daohu,mentah
270,270.,hade,pasang
271,271.,itona,pasang surut
272,272.,totobe,pancingan ikan
273,273.,tora,kasau
274,274.,gosora,pala
275,275.,goraka daare,jahe putih
276,276.,goraka dasosawala,jahe merah
277,277.,lolodi ilalago,lombok besar
278,278.,gurati,kunyit
279,279.,galiasa,lengkuas
280,280.,tatapa,nyiru
281,281.,katu,atap
282,282.,diha,pisau
283,283.,sobel,parang sabit
284,284.,taito,parang
285,285.,gota,kayu bakar
286,286.,uku,api
287,287.,tamo daoosa,nasi
288,288.,goro-goro,pulut
289,289.,puni,kulit kelapa
290,290.,dang,ranjang
291,291.,bole,pisang
292,292.,bole daoom,pisang masak
293,293.,bole daoohu,pisang mentah
294,294.,ruki masoka,daun melinjo
295,295.,fofoki,terung
296,296.,godom,sayur paku
297,297.,galipapo,kecipir
298,298.,gayawas,jambu biji
299,299.,sambiki,labu
300,300.,dowongi,pasir
301,301.,nyawa,orang
302,302.,ngopa,anak
303,303.,roka,suami
304,304.,pedeka,istri
305,305.,uru makahi,bibir
306,306.,toko,ayam
307,307.,teto,batu
308,308.,tihimo,tua
309,309.,kiau,muda
310,310.,cawaro,pintar
311,311.,fuma,bodoh
312,312.,pako,kasar
313,313.,mali,pahit
314,314.,muti,manis
315,315.,totooma,jahat
316,316.,siboso,sayang
317,317.,peleso,sedih
318,318.,damato,dusta
319,319.,dupa,suka
320,320.,kiopi,asam
321,321.,waro,luas
322,322.,hiwasi,belum
323,323.,odo,makan
324,324.,udo,minum
325,325.,ino,makanan
326,326.,iho,kotoran/tai
327,327.,ngomi,kami
328,328.,soso,terbang
