,N o m o r,B a h a s a   I n d o n e s i a,B a h a s a   K o h i n
183,184,telinga,pinding
184,185,telur,touh
185,186,terbang,naang
186,187,tertawa,tatao
187,188,tejtek,susu
188,189,tidak,mae
189,190,tidur,tiuh
190,191,tiga,tou
191,192,tikam,nebek
192,193,tipis,nipis
193,194,titip,musik
194,195,tongkat,tungkot
195,196,tua,ongkok
196,197,tulang,tuang
197,198,tumpul,tampak (tempet)
198,199,ular,nyipo
199,200,usus,inting tanoi
200,201,ambil,mono
201,202,atas,koong
202,203,ayam,manuk
203,204,babi,babui
204,205,bambu,toung
205,206,bangau,bango
206,207,bangun,moin
207,208,barat,pambaop (arah matahari terbenam/pambelep)
208,209,bawah,penda
209,210,berani,bahanyi
210,211,beras,behas
211,212,berhenti,tondo
212,213,bersih,barasih
213,214,besi,sanaman
214,215,bibir,bibih
215,216,bodoh,manggal
216,217,buang,mantuk
217,218,buka,nguap
218,219,bukit,puuk
219,220,buluh,biak
220,221,busur,busur
221,222,buta,botu
222,223,cepat,geleng
223,224,darat,diang
224,225,dayung,bonsai
225,226,delapan,hanya?
226,227,di luar,aang lua
227,228,di sana,aang anai
228,229,emas,buo
229,230,enau,hanau
230,231,gantung,ngantung
231,232,gurita,talampin (gurita untuk bayi)
232,233,beliun,ontak
233,234,ingat,ingat
234,235,jagung,pusu/lapusu
235,236,kasar,kasar
236,237,kapak,dadah
237,238,keringat,dadah
238,239,kurus,bingkang
239,240,laba-laba,bangkoi
240,241,ladang,umo
241,242,lalat,daot
242,243,lama,tahi
243,244,lambat,umbai
244,245,langau,angow
245,246,layar,layar
246,247,lepas,tokak
247,248,lontar,mukah
248,249,lupa,tingoo
249,250,mabuk,mabu?
250,251,mentimun,timun
251,252,musim hujan,musim ujan
252,253,musim panas,musim poho (musim toyah)
253,254,naik,ningkot
254,255,nyamuk,nyamuk
255,256,nyiur,enyuh
256,257,padi,paoi
257,258,pahit,pooit
258,259,panah,panah
259,260,pandan,ponde?
260,261,panggil,tango
261,262,parit,parit
262,263,kura-kura,"bajuku (kelep, baning, jabi)"
263,264,perahu,aluu
264,265,pergi,kauh
265,266,perisai,telabang
266,267,pintar,pintar
267,268,pisang,punti
268,269,putus,patot
269,270,ratus,ratus
270,271,ribu,kuyan (sakuyan)
271,272,ringan,mahian
272,273,rumah,pasah
273,274,rusa,ujang
274,275,sakit,poos (mondam:demam)
275,276,salah,sala
276,277,sayur,kembah
277,278,selam,nosot
278,279,sembilan,jalatien
279,280,sepuluh,sepuluh
280,281,tanam,nonjom
281,282,tadi,enih
282,283,tanduk,tonduk
283,284,bukan,bukon
284,285,tebu,towu
285,286,telur kutu,ios kutu
286,287,tempat,tontai
287,288,terima,narima
288,289,tiang,johi
289,290,tikus,tikus
290,291,timur,pamboum (arah matahari terbit/pambelum)
291,292,tombak,unju
292,293,tuba,tube
293,294,tujuh,uju
294,295,tuli,badengen
295,296,terong,ndohong
296,297,turun,suuh
297,298,tusuk,nyuduk
298,299,ubi,ubi (ubi:singkong:konjoi)
299,300,udang,undeh
