,K o d e,N o m o r,E,M a t a   u a n g,W i l a y a h   y a n g   m e n g g u n a k a n   m a t a   u a n g   i n i
121,RWF,646,0,Frank Rwanda,Rwanda
122,SAR,682,2,Riyal Arab Saudi,Arab Saudi
123,SBD,090,2,Dolar Kepulauan Solomon,Kepulauan Solomon
124,SCR,690,2,Rupee Seychelles,Seychelles
125,SDG,938,2,Pound Sudan,Sudan
126,SEK,752,2,Krona Swedia,Swedia
127,SGD,702,2,Dolar Singapura,Singapura
128,SHP,654,2,Pound Saint Helena,Saint Helena
129,SLL,694,2,Leone,Sierra Leone
130,SOS,706,2,Shilling Somalia,Somalia
131,SRD,968,2,Dolar Suriname,Suriname
132,SSP,225,2,Pound Sudan Selatan,Sudan Selatan
133,STD,678,2,Dobra,Sao Tome dan Principe
134,SYP,760,2,Pound Suriah,Suriah
135,SZL,748,2,Lilangeni,Eswatini
136,THB,764,2,Baht,Thailand
137,TJS,972,2,Somoni,Tajikistan
138,TMM,795,2,Manat,Turkmenistan
139,TND,788,3,Dinar Tunisia,Tunisia
140,TOP,776,2,Pa'anga,Tonga
141,TRY,949,2,Lira Turki,Turkey
142,TTD,780,2,Dolar Trinidad dan Tobago,Trinidad dan Tobago
143,TWD,901,2,Dolar Taiwan,Taiwan
144,TZS,834,2,Shilling Tanzania,Tanzania
145,UAH,980,2,Hryvnia,Ukraine
146,UGX,800,2,Shilling Uganda,Uganda
147,USD,840,2,Dolar Amerika Serikat,"Samoa Amerika, Teritori Samudra Hindia Britania, Ekuador, El Salvador, Guam, Haiti, Kepulauan Marshall, Mikronesia, Kepulauan Mariana Utara, Palau, Panama, Timor Leste, Kepulauan Turks dan Caicos, Amerika Serikat, Kepulauan Virgin"
148,USN,997,2,,Amerika Serikat
149,USS,998,2,,Amerika Serikat
150,UYU,858,2,Peso Uruguay,Uruguay
151,UZS,860,2,Som Uzbekistan,Uzbekistan
152,VEF,937,2,Bolívar,Venezuela
153,VND,704,2,Đồng,Vietnam
154,VUV,548,0,Vatu,Vanuatu
155,WST,882,2,Tala Samoa,Samoa
156,XAF,950,0,Frank CFA BEAC,"Kamerun, Republik Afrika Tengah, Kongo, Chad, Guinea Khatulistiwa, Gabon"
157,XAG,961,.,Perak (satu troy),
158,XAU,959,.,Emas (satu troy),
159,XBA,955,.,European Composite Unit (EURCO),
160,XBB,956,.,European Monetary Unit (E.M.U.-6),
161,XBC,957,.,European Unit of Account 9 (E.U.A.-9),
162,XBD,958,.,European Unit of Account 17 (E.U.A.-17),
163,XCD,951,2,Dolar Karibia Timur,"Anguilla, Antigua dan Barbuda, Dominika, Grenada, Montserrat, Saint Kitts dan Nevis, Saint Lucia, Saint Vincent dan Grenadines"
164,XDR,960,.,Special Drawing Rights,International Monetary Fund
165,XFO,Nil,.,Frank Emas,Bank for International Settlements
166,XFU,Nil,.,Frank UIC,International Union of Railways
167,XOF,952,0,Frank CFA BCEAO,"Benin, Burkina Faso, Pantai Gading, Guinea-Bissau, Mali, Niger, Senegal, Togo"
168,XPD,964,.,Paladium (satu troy),
169,XPF,953,0,Frank CFP,"Polynesia Prancis, Kaledonia Baru, Wallis dan Futuna"
170,XPT,962,.,Platina (satu troy,
171,XTS,963,.,Kode dicadangkan untuk keperluan uji coba,
172,XXX,999,.,Tidak ada mata uang,
173,YER,886,2,Rial Yaman,Yaman
174,ZAR,710,2,Rand,Afrika Selatan
175,ZMW,967,2,Kwacha,Zambia
176,ZWL,932,2,Dolar Zimbabwe,Zimbabwe
