,T a h u n,P e n g h a r g a a n,K a t e g o r i,H a s i l
87,2016,Selebrita Awards,Anak Terseleb (Rafathar),Menang
88,2016,Selebrita Awards,Sensasional Seleb,Menang
89,2016,Selebrita Awards,Seleb Eksis,Nominasi
90,2016,Selebrita Awards,Pasangan Terseleb (bersama Nagita Slavina),Nominasi
91,2016,Socmed Awards,SelebTweet Male,Menang
92,2016,Indonesian Television Awards,Pembawa Acara Terpopuler,Menang
93,2016,Indonesian Social Media Awards,Male Celeb Facebook,Menang
94,2016,Indonesian Social Media Awards,Male Celeb Twitter,Nominasi
95,2016,Indonesian Social Media Awards,Kid Celeb Social Media (Rafathar),Menang
96,2016,Mom and Kids Awards,Host Kesayangan,Menang
97,2016,Mom and Kids Awards,Daddy Kesayangan,Nominasi
98,2016,Mom and Kids Awards,Kids Seleb Kesayangan (Rafathar),Nominasi
99,2016,Mom and Kids Awards,Keluarga Kesayangan (bersama Nagita Slavina),Nominasi
100,2017,Infotainment Awards,Gourgeous Baby (Rafathar),Nominasi
101,2017,Infotainment Awards,Gourgeous Dad,Nominasi
102,2017,Seleb On News Awards,Papi Paling Gaul,Menang
103,2017,Seleb On News Awards,Host Paling Hits,Nominasi
104,2017,Seleb On News Awards,Seleb Paling Sosmed (bersama Nagita Slavina),Nominasi
105,2017,Nickelodeon Indonesia Kids' Choice Awards,Keluarga Artis Favorit (bersama Nagita Slavina),Nominasi
106,2017,Nickelodeon Indonesia Kids' Choice Awards,Pembawa Acara Favorit,Nominasi
107,2017,JawaPos.com Readers Choice Awards,Favorite Host,Nominasi
108,2017,Instagram Awards,Interaksi Terbanyak Award (bersama Nagita slavina),Menang
109,2017,Instagram Awards,Top 5 Followers Terbanyak (bersama Nagita slavina),Menang
110,2017,Indonesian Television Awards,Pembawa Acara Terpopuler,Menang
111,2017,Indonesian Television Awards,Duet Pembawa Acara Terpopuler (bersama Denny Cagur),Menang
112,2017,Selebrita Awards,Pembawa Acara Pria Terseleb,Nominasi
113,2017,Selebrita Awards,Seleb Tereksis,Nominasi
114,2017,Selebrita Awards,Balita Terseleb (Rafathar),Menang
115,2017,Selebrita Awards,Pasangan Terseleb (bersama Nagita Slavina),Menang
116,2017,Silet Awards,"Keluarga Tersilet (bersama Nagita Slavina, Rafathar)",Menang
117,2017,Panasonic Gobel Awards,Presenter Musik/Variety Show & Entertainment,Menang
118,2017,Mom and Kids Awards,Daddy Kesayangan,Nominasi
119,2017,Mom and Kids Awards,Daddy and Kids Kesayangan,Nominasi
120,2017,Mom and Kids Awards,Kids Seleb Kesayangan (Rafathar),Nominasi
121,2017,Mom and Kids Awards,"Keluarga Kesayangan (bersama Nagita Slavina, Rafathar)",Menang
122,2018,Youtube Awards,Rans Entertainment Channel Raih 1 000 000 Subscribers - Gold Play Button (bersama Nagita Slavina)[21][22],Menang
123,2018,Indonesian Television Awards 2018,Pasangan Program TV Terpopuler (bersama Nagita Slavina),Menang
124,2019,Indonesian Television Awards,Pembawa Acara Terpopuler,Menang
125,2019,Selebrita Awards 2019,Selebriti Pembawa Acara Pria Terfavorit,Menang
126,2019,Selebrita Awards 2019,Pasangan Selebriti Terfavorit (bersama Nagita Slavina),Menang
127,2019,Selebrita Awards 2019,Selebriti Pria Terfavorit,Nominasi
128,2019,SCTV Awards 2019,Presenter paling Ngetop,Menang
129,2019,Panasonic Gobel Awards 2019,Presenter Kuis dan Gameshow Terfavorit,Menang
130,2019,Panasonic Gobel Awards 2019,Konten Kreator Digital Terfavorit : RANS Entertainment,Menang
131,2020,Indonesian Television Awards 2020,Publik Figur Inspiratif Terpopuler,Menang
132,2020,Indonesian Television Awards 2020,Pembawa Acara Televisi Terpopuler,Nominasi
133,2020,Indonesian Television Awards 2020,Program Akhir Pekan Terpopuler - Janji Suci Raffi & Gigi (Trans TV) (bersama Nagita Slavina),Nominasi
134,2020,Dahsyatnya Awards 2020,Host Terdahsyat,Nominasi
135,2020,Dahsyatnya Awards 2020,"Trio Terdahsyat (Trio RaDen Ayu (Raffi Ahmad, Denny Cagur, Ayu Dewi))",Nominasi
136,2020,Mom And Kids Awards 2020,Daddy Kesayangan,Nominasi
137,2020,Mom And Kids Awards 2020,"Keluarga Kesayangan (bersama Nagita Slavina, Rafathar)",Nominasi
138,2020,Indonesian E-Sports Awards 2020,RANS ESPORTS,Menang
139,2020,SCTV Awards 2020,Presenter Paling Ngetop,Nominasi
140,2020,SCTV Awards 2020,Artis Paling Sosmed,Nominasi
141,2020,Kiss Awards 2020,Sultan Terkiss,Menang
142,2020,Kiss Awards 2020,Hot Papa Terkiss,Menang
143,2020,Kiss Awards 2020,Keluarga Terkiss,Nominasi
144,2020,Kiss Awards 2020,Host Terkiss,Nominasi
145,2021,Obsesi Awards,Lovely Dad Terobsesi,Nominasi
146,2021,Obsesi Awards,Selebriti Sosmed Terobsesi (bersama Nagita Slavina),Menang
147,2021,RCTI+ Indonesian Digital Awards,"Most Favorite Host (bersama Ayu Dewi, Denny Cagur, Raffi Ahmad, dan Tiara Andini - Dahsyatnya 2021)",Menang
148,2021,Video Content Creator Awards,Selebriti Terfavorit,Menang
149,2021,Infotainment Awards,Celebrity of The Year,Menang
150,2021,Infotainment Awards,Gorgeous Dad,Menang
151,2021,Infotainment Awards,"Inspirational Family (""Raffi Ahmad Family"" bersama Nagita Slavina, Rafathar Malik Ahmad)",Menang
152,2021,Indonesian Television Awards,Program Akhir Pekan Terpopuler - Janji Suci Raffi & Gigi (Trans TV) (bersama Nagita Slavina),Nominasi
153,2021,Indonesian Television Awards,Pembawa Acara Televisi Terpopuler,Nominasi
154,2021,Indonesian Television Awards,Public Figure Inspiratif Terpopuler,Nominasi
155,2021,Indonesian Television Awards,Artis Televisi Terpopuler,Nominasi
156,2021,SCTV Awards 2021,Presenter Paling Ngetop,Menang
157,2021,SCTV Awards 2021,Artis Paling Sosmed,Nominasi
158,2021,Indonesian Esports Awards,Celebrity Gamer Terfavorit,Nominasi
159,2022,Kiss Awards 2022,Crazy Rich Indonesia Terkiss,Menang
160,2022,Kiss Awards 2022,Netizen Darling Terkiss,Nominasi
161,2022,Kiss Awards 2022,Hot Papa Terkiss,Nominasi
162,2022,Kiss Awards 2022,Pasangan Baper Terkiss (bersama Nagita Slavina),Nominasi
