,N e g a r a,D e w a s a ( R i b u ),K e k a y a a n r e r a t a   p e r d e w a s a ( U S D ),K e k a y a a n m e d i a n   p e r d e w a s a ( U S D ),P e r s e b a r a n   d e w a s a   ( % )   m e n u r u t   k e k a y a a n   ( U S D ),P e r s e b a r a n   d e w a s a   ( % )   m e n u r u t   k e k a y a a n   ( U S D ),P e r s e b a r a n   d e w a s a   ( % )   m e n u r u t   k e k a y a a n   ( U S D ),P e r s e b a r a n   d e w a s a   ( % )   m e n u r u t   k e k a y a a n   ( U S D ),P e r s e b a r a n   d e w a s a   ( % )   m e n u r u t   k e k a y a a n   ( U S D ),G i n i   %
22,Colombia,30464,26222,6228,60.2,35.8,3.9,0.2,100,79.7
23,Seychelles,54,60003,14617,40.0,50.0,9.2,0.8,100,79.6
24,Argentina,28265,15638,4032,72.1,26.1,1.7,0.1,100,79.6
25,Saudi Arabia,16694,37346,9772,53.3,41.1,5.3,0.3,100,79.3
26,Namibia,1256,19899,4531,67.5,28.3,4.2,0.1,100,78.7
27,Israel,4947,137351,38164,30.0,44.8,23.7,1.5,100,78.7
28,Comoros,388,2872,670,93.8,6.1,0.2,0.0,100,78.7
29,Cyprus,694,119568,34874,23.8,56.3,18.6,1.4,100,78.3
30,Mexico,73380,35872,9718,53.5,40.6,5.7,0.3,100,78.0
31,Norway,3733,380473,92859,19.4,32.5,40.6,7.5,100,77.8
32,Austria,6761,203931,57450,28.2,31.8,37.0,3.0,100,77.8
33,Libya,4291,28397,6563,58.1,35.7,6.0,0.1,100,77.7
34,Botswana,1181,10348,2649,81.0,17.6,1.4,0.0,100,77.2
35,Germany,67068,192232,49370,29.0,33.3,35.1,2.6,100,77.1
36,Haiti,5813,3532,960,92.3,7.5,0.2,0.0,100,76.1
37,Angola,9273,14708,3934,69.1,28.8,2.1,0.0,100,75.6
38,Central African Republic,2370,800,241,99.1,0.9,0.0,0.0,100,74.8
39,Bolivia,5800,4604,1368,89.3,10.4,0.3,0.0,100,74.4
40,Zambia,6151,1817,548,96.8,3.2,0.0,0.0,100,74.1
41,Czech Republic,8437,44975,15541,40.0,53.2,6.4,0.3,100,74.0
42,Singapore,3955,281764,90466,20.0,34.2,41.4,4.4,100,73.9
43,Kuwait,2291,119101,42897,21.8,55.5,21.5,1.2,100,73.8
44,Poland,30255,26056,9109,55.0,41.5,3.3,0.1,100,73.7
45,Taiwan,18359,151752,53336,22.5,45.1,30.8,1.7,100,73.6
46,Netherlands,12914,185588,83631,23.3,30.9,43.6,2.2,100,73.2
47,Belize,188,9998,3130,76.3,22.6,1.1,0.0,100,73.1
48,Suriname,344,14250,4544,68.8,29.6,1.6,0.0,100,73.0
49,Nicaragua,3424,3432,1147,92.5,7.3,0.1,0.0,100,73.0
50,Romania,16692,14044,5137,69.3,29.2,1.4,0.1,100,73.0
51,Lesotho,1079,3457,1105,92.4,7.5,0.1,0.0,100,72.9
52,Paraguay,3910,10934,3726,73.2,25.6,1.3,0.0,100,72.8
53,Swaziland,628,4360,1393,90.0,9.8,0.2,0.0,100,72.7
54,Panama,2322,22292,7509,57.3,38.5,4.2,0.0,100,72.7
55,Rwanda,5306,723,245,99.3,0.7,0.0,0.0,100,72.7
56,Sao Tome and Principe,86,2721,959,94.3,5.7,0.1,0.0,100,72.7
57,Canada,27173,251034,90252,30.0,21.5,44.9,3.7,100,72.7
58,Korea,38350,79475,30938,25.3,59.5,14.5,0.7,100,72.6
59,Papua New Guinea,3752,8470,2821,81.1,18.0,0.8,0.0,100,72.4
60,Cape Verde,295,16313,5478,65.0,32.5,2.5,0.0,100,72.3
61,Antigua and Barbuda,63,19011,6281,58.8,38.3,3.0,0.0,100,72.2
62,Costa Rica,3246,28124,9532,54.1,40.2,5.7,0.1,100,72.2
63,Dominica,50,24086,8349,55.0,40.3,4.7,0.1,100,72.0
64,St. Kitts and Nevis,34,23613,8185,56.3,39.1,4.6,0.1,100,71.9
65,St. Vincent and the Grenadines,71,10196,3492,73.8,25.1,1.1,0.0,100,71.9
66,Grenada,67,14473,5017,67.5,30.7,1.7,0.0,100,71.9
67,New Zealand,3234,182548,76607,25.6,34.1,38.1,2.3,100,71.8
68,Ecuador,8723,12350,4403,69.8,28.8,1.4,0.0,100,71.4
69,El Salvador,3738,12039,4483,70.0,28.7,1.3,0.0,100,71.0
70,Ireland,3488,183804,75573,20.9,36.5,40.4,2.2,100,70.9
71,Kenya,20757,2843,1049,94.2,5.7,0.1,0.0,100,70.9
72,Oman,1872,48415,18152,40.0,47.8,12.0,0.2,100,70.8
73,Peru,18865,18227,6705,58.5,38.9,2.6,0.0,100,70.8
74,Gambia,908,864,324,99.2,0.8,0.0,0.0,100,70.8
75,Congo-Brazzaville,2024,3892,1420,91.2,8.6,0.1,0.0,100,70.8
76,United Arab Emirates,3777,126791,51882,20.0,50.6,28.2,1.3,100,70.5
77,Qatar,1278,153294,58237,25.0,38.3,35.0,1.7,100,70.5
78,Portugal,8614,89074,38846,25.8,54.8,18.7,0.8,100,70.1
79,Mozambique,11441,811,313,99.3,0.7,0.0,0.0,100,70.0
80,Jamaica,1719,11401,4393,70.0,28.8,1.2,0.0,100,69.9
81,Uruguay,2400,47002,17998,39.6,48.3,11.9,0.2,100,69.8
82,Uganda,15107,750,294,99.4,0.6,0.0,0.0,100,69.6
83,DR Congo,31854,321,124,99.9,0.1,0.0,0.0,100,69.6
84,China,998254,22230,8023,58.4,39.1,2.4,0.1,100,69.5
85,Madagascar,10359,448,177,99.8,0.2,0.0,0.0,100,69.4
86,Guyana,474,3801,1506,91.6,8.3,0.1,0.0,100,69.2
87,Fiji,523,6473,2630,85.0,14.6,0.4,0.0,100,69.0
88,France,48124,295933,141850,21.7,22.9,50.8,4.6,100,69.0
89,Barbados,200,22289,8108,55.0,41.5,3.5,0.0,100,69.0
90,Eritrea,2781,2125,875,96.3,3.7,0.0,0.0,100,68.9
91,"Macedonia, FYR",1561,11543,4743,69.3,29.6,1.1,0.0,100,68.8
92,Sierra Leone,2897,681,273,99.6,0.4,0.0,0.0,100,68.8
93,Ghana,13501,1811,743,97.7,2.3,0.0,0.0,100,68.6
94,St. Lucia,119,13087,5296,66.3,32.5,1.2,0.0,100,68.5
95,Tunisia,7452,21084,8823,55.0,41.5,3.5,0.0,100,68.2
96,Gabon,869,21860,9240,55.0,41.3,3.7,0.0,100,68.2
97,Solomon Islands,298,9868,4261,73.8,25.3,1.0,0.0,100,68.1
98,Morocco,21355,11398,4750,70.0,28.9,1.1,0.0,100,68.1
99,Côte d'Ivoire,11501,2640,1104,95.0,4.9,0.1,0.0,100,68.1
100,Sri Lanka,14326,5033,2101,87.9,11.9,0.2,0.0,100,68.0
101,Turkmenistan,3352,36570,15305,40.0,52.1,7.8,0.1,100,68.0
102,Georgia,3172,21640,9178,54.7,41.8,3.5,0.0,100,68.0
103,Togo,3693,2450,1049,95.6,4.3,0.0,0.0,100,67.9
104,United Kingdom,48220,243570,111524,18.0,28.8,50.0,3.2,100,67.7
105,Mauritania,1832,1967,865,97.0,3.0,0.0,0.0,100,67.7
106,Burkina Faso,7721,1273,543,98.7,1.3,0.0,0.0,100,67.7
107,Djibouti,508,3465,1488,92.8,7.2,0.1,0.0,100,67.5
108,Chad,5485,1131,483,99.0,1.0,0.0,0.0,100,67.5
109,Trinidad and Tobago,987,15088,6459,60.0,38.5,1.5,0.0,100,67.4
110,Malawi,7417,207,89,100.0,0.0,0.0,0.0,100,67.3
111,Guinea,5301,882,380,99.4,0.6,0.0,0.0,100,67.3
112,Iceland,253,211592,104733,20.0,30.0,47.3,2.7,100,67.3
113,Tonga,54,15905,7217,58.8,39.8,1.5,0.0,100,67.2
114,Senegal,6423,2597,1125,95.3,4.7,0.0,0.0,100,67.2
115,Cameroon,10459,2603,1115,95.2,4.8,0.0,0.0,100,67.2
116,Vanuatu,138,6068,2753,85.0,14.7,0.3,0.0,100,67.1
117,Benin,4733,3187,1398,93.6,6.3,0.1,0.0,100,67.1
118,Samoa,92,34537,15132,40.0,53.0,6.9,0.1,100,67.0
119,Cambodia,9151,2644,1155,95.0,4.9,0.0,0.0,100,67.0
120,Yemen,12192,4951,2193,88.3,11.6,0.2,0.0,100,66.8
121,Iran,53270,8727,3846,75.0,24.4,0.6,0.0,100,66.8
122,Liberia,2118,2173,987,96.5,3.5,0.0,0.0,100,66.7
123,Tanzania,22038,951,423,99.3,0.7,0.0,0.0,100,66.6
124,Laos,3618,5393,2411,86.7,13.1,0.2,0.0,100,66.5
125,Lithuania,2537,23411,10635,47.5,48.5,3.9,0.0,100,66.5
126,Myanmar,34180,2214,941,97.0,3.0,0.0,0.0,100,66.4
127,Finland,4195,171821,95095,29.0,22.3,47.2,1.6,100,66.4
128,Maldives,210,5556,2480,85.0,14.8,0.2,0.0,100,66.3
129,Bahamas,242,41106,17842,35.0,55.9,9.0,0.1,100,66.2
130,Spain,37206,123997,63306,17.4,52.4,29.0,1.1,100,66.1
131,Mongolia,1855,14214,6433,61.1,37.6,1.3,0.0,100,66.1
132,Syrian Arab Republic,13352,7073,3198,82.7,16.9,0.4,0.0,100,66.0
133,Latvia,1787,24285,11338,45.0,50.9,4.0,0.0,100,66.0
134,Greece,9105,102971,53937,20.4,53.7,25.1,0.8,100,65.9
135,Jordan,3858,14364,6589,60.3,38.3,1.4,0.0,100,65.9
136,Kyrgyz Republic,3568,5385,2432,85.9,13.9,0.2,0.0,100,65.9
137,Viet Nam,61765,4857,2215,87.8,12.0,0.2,0.0,100,65.8
138,West Bank and Gaza,1739,8979,4200,73.1,26.3,0.6,0.0,100,65.8
139,Equatorial Guinea,365,19525,9130,55.0,42.6,2.4,0.0,100,65.8
140,Bosnia and Herzegovina,2985,11173,5139,68.2,30.9,0.9,0.0,100,65.8
141,Luxembourg,390,315240,182768,15.0,22.5,57.0,5.5,100,65.7
142,Estonia,1055,33701,15724,40.0,53.3,6.6,0.1,100,65.7
143,Guinea-Bissau,836,424,199,99.9,0.1,0.0,0.0,100,65.7
144,Albania,2237,9450,4451,72.7,26.6,0.7,0.0,100,65.6
145,Niger,7014,937,434,99.3,0.7,0.0,0.0,100,65.5
146,Algeria,23982,10100,4673,70.0,29.2,0.7,0.0,100,65.5
147,Sudan,23811,1291,595,98.9,1.1,0.0,0.0,100,65.4
148,Burundi,4729,293,137,99.9,0.1,0.0,0.0,100,65.2
149,Azerbaijan,6276,16344,7721,57.1,41.4,1.5,0.0,100,65.1
150,Croatia,3498,26551,12639,41.2,54.1,4.7,0.0,100,65.1
151,Italy,49117,241383,138653,20.0,20.5,56.5,3.0,100,65.0
152,Mali,6464,955,455,99.4,0.6,0.0,0.0,100,64.7
153,Moldova,2692,3854,1874,91.8,8.1,0.1,0.0,100,64.7
154,Nepal,17273,1998,951,97.7,2.3,0.0,0.0,100,64.7
155,Bangladesh,104135,1894,908,97.9,2.1,0.0,0.0,100,64.6
156,Mauritius,935,37308,19247,40.0,52.5,7.4,0.1,100,64.5
157,Hungary,7915,28379,14068,40.0,55.0,4.9,0.0,100,64.0
158,Armenia,2263,5613,2793,85.5,14.3,0.2,0.0,100,63.9
159,Tajikistan,4022,3168,1581,94.3,5.7,0.1,0.0,100,63.8
160,Pakistan,106365,4248,2106,90.8,9.0,0.1,0.0,100,63.8
161,Ethiopia,42750,411,207,99.9,0.1,0.0,0.0,100,63.6
162,Australia,16617,402578,219505,6.9,23.7,62.6,6.8,100,63.6
163,Japan,104315,216694,110294,9.2,37.7,50.6,2.5,100,63.5
164,Montenegro,467,21340,10929,45.0,52.6,2.4,0.0,100,63.4
165,Belgium,8387,255573,148141,17.4,22.1,57.3,3.2,100,62.6
166,Serbia,7527,15175,7978,56.8,42.0,1.3,0.0,100,62.5
167,Bulgaria,5991,16818,8825,55.2,43.4,1.4,0.0,100,62.5
168,Belarus,7543,2407,1271,96.8,3.1,0.0,0.0,100,62.2
169,Malta,330,71448,42898,18.8,65.0,15.9,0.3,100,59.5
170,Bahrain,571,44822,26675,28.7,60.0,11.2,0.0,100,58.5
171,Brunei Darussalam,286,51373,31527,26.2,58.7,15.0,0.0,100,58.5
172,Slovenia,1655,64067,44932,19.4,60.6,19.9,0.1,100,53.5
173,Slowakia,4303,27224,20740,19.8,77.8,2.4,0.0,100,44.7
