,R a n k,N e g a r a   ( a t a u   w i l a y a h   d e p e n d e n s i ),A r e a,A r e a,P o p u l a s i,K e p a d a t a n,K e p a d a t a n,T a n g g a l,S u m b e r   p o p u l a s i
177,137,Madagaskar,587041,227,25680342,4.375,11.331,"May 18, 2018",Official Census Diarsipkan 2021-02-26 di Wayback Machine.
178,138,Lituania,65300,25,2793466,4.278,11.080,"November 1, 2019",Monthly official estimate
179,139,Colombia,1.141.748,440.831,52.321.168,4583,11869,"April 10, 2023",Official population clock
180,140,Palau,444,171,17900,4.032,10.443,"July 1, 2018",Official estimate[pranala nonaktif permanen]
181,–,Kepulauan Cocos (Keeling) (Australia),14,5,544,3.886,10.065,"August 9, 2016",census result
182,141,Zimbabwe,390757,151,15159624,388,1.005,"July 1, 2019",Official annual projection
183,142,Republik Demokratik Kongo,[convert: invalid number],86790567,3.701,9.586,"July 1, 2019",UN projection,
184,143,Mozambik,799380,309,28571310,3.574,9.257,"July 1, 2019",Official projection
185,144,Venezuela,916445,354,32219521,3.516,9.106,"July 1, 2019",Official annual projection
186,–,Kepulauan Faroe (Denmark),1399,1,50844,3.448,8.930,"May 1, 2018",Official monthly estimate
187,145,United States,9.826.675,3.794.101,340.407.491,3464,8972,"April 10, 2023",Official population clock
188,146,Kirgizstan,199945,77,6309300,3.156,8.174,"June 1, 2018",Official estimate
189,147,Latvia,64562,25,1910400,2.959,7.664,"October 1, 2019",Official monthly estimate Diarsipkan 2021-02-25 di Wayback Machine.
190,148,Estonia,45339,18,1324820,2.922,7.568,"January 1, 2019",Official estimate Diarsipkan 2012-11-23 di Wayback Machine.
191,149,Eritrea,121100,47,3497117,2.888,7.480,"July 1, 2019",UN projection
192,–,Abkhazia[note 6],8660,3,243206,2.808,7.273,"April 27, 2018",
193,150,Bahama,13940,5,386870,2.775,7.187,"July 1, 2018",Official projection
194,151,Laos,236800,91,6492400,2.742,7.102,"March 1, 2015",Preliminary 2015 census result Diarsipkan 2020-03-18 di Wayback Machine.
195,–,Saint Pierre and Miquelon (France),242,2.605,6081,2.513,6.509,"January 1, 2010",Official estimate
196,152,Peru,[convert: invalid number],32162184,2.502,6.480,"July 1, 2018",Official estimate,
197,153,Brazil,8.515.767,3.287.956,218.168.714,2562,6635,"April 10, 2023",Official population clock
198,154,Vanuatu,12281,5,304500,2.479,6.421,"July 1, 2018",Official estimate[pranala nonaktif permanen]
199,155,Kepulauan Solomon,28370,11,682500,2.406,6.232,"July 1, 2018",Official estimate[pranala nonaktif permanen]
200,156,Somalia,637.657,246.201,15181925,2.381,6.167,"July 1, 2018",UN projection
201,157,Angola,[convert: invalid number],29250009,2.346,6.076,"January 1, 2018",Official estimate,
202,158,Chili,756096,292,17373831,2.298,5.952,"August 31, 2017",Preliminary 2017 census result
203,159,Swedia,450295,174,10343403,2.297,5.949,"April 1, 2020",Official quarterly estimate
204,160,Sudan,[convert: invalid number],40782742,2.217,5.742,"July 1, 2017",Official annual projection,
205,161,Zambia,752612,291,16405229,218,565,"July 1, 2017",Official annual projection Diarsipkan 2021-02-26 di Wayback Machine.
206,162,Bhutan,38394,15,864.396,2251,5831,"April 10, 2023",Official population clock[pranala nonaktif permanen][Verifikasi gagal]
207,163,Uruguay[butuh klarifikasi],176215,68,3518553,1.997,5.172,"June 30, 2019",Official annual projection
208,–,Somaliland[note 7],176120,68,3508180,1.992,5.159,"August 17, 2017",
209,164,Sudan Selatan,644329,249,12778250,1.983,5.136,"July 1, 2019",Official annual projection
210,–,Kepulauan Åland (Finland),1552,1,29789,1.919,4.970,"December 31, 2018",Official estimate Diarsipkan 2016-11-15 di Wayback Machine.
211,165,Papua Nugini,462840,179,8935000,193,500,"July 1, 2020",Annual official estimate
212,166,New Zealand,270.467,104.428,5.320.777,1967,5095,"April 10, 2023",Official population clock
213,167,Niger,[convert: invalid number],22314743,1.881,4.872,"July 1, 2019",Official annual projection,
214,168,Aljazair,[convert: invalid number],43000000,1.805,4.675,"January 1, 2019",Official projection Diarsipkan 2012-03-06 di Wayback Machine.,
215,169,Belize,22965,9,408487,1.779,4.608,"August 1, 2019",Official annual estimate
216,170,Paraguay,406752,157,7052983,171,443,"July 1, 2018",Official projection
217,171,Norwegia,323808,125,5367580,1.658,4.294,"January 1, 2020",Official quarterly estimate
218,172,Finlandia,338424,131,5527405,1.633,4.229,"December 20, 2019",Official monthly estimate
219,173,Argentina,[convert: invalid number],44938712,1.616,4.185,"July 1, 2019",Annual official estimate,
220,174,Arab Saudi,[convert: invalid number],34218169,1.592,4.123,"January 1, 2019",Annual official estimate,
221,175,Republik Kongo,342000,132,5399895,1.579,4.090,"July 1, 2018",UN projection
222,176,Mali,[convert: invalid number],19107706,153,396,"July 1, 2018",UN projection,
223,–,Pulau Natal (Australia),137,53,2072,1.512,3.916,"August 9, 2011",2011 census result
224,177,Oman,309500,119,4645249,1.501,3.888,"April 1, 2020",Official quarterly estimate Diarsipkan 2021-01-28 di Wayback Machine.
225,–,"Saint Helena, Ascension and Tristan da Cunha (United Kingdom)",394,152,5633,143,370,"February 7, 2016",2016 census result
226,–,Kaledonia Baru (France),18575,7,258958,1.394,3.610,"July 1, 2013",Official estimate
227,–,South Ossetia[note 8],3900,2,53532,1.373,3.556,"August 11, 2016",
228,–,Artsakh[note 9],11458,4,150932,1.317,3.411,"October 14, 2015",
229,178,Chad,[convert: invalid number],15353184,1.196,3.098,"July 1, 2018",UN projection,
230,179,Turkmenistan,491210,190,5851466,1.191,3.085,"July 1, 2018",UN projection
231,180,Bolivia,[convert: invalid number],11307314,1.029,2.665,"July 1, 2018",Official projection,
232,181,Rusia[note 10],[convert: invalid number],146877088,858,2.222,"January 1, 2018",Official estimate Diarsipkan 2018-06-15 di Wayback Machine.,
233,182,Gabon,267667,103,2067561,772,1.999,"July 1, 2018",UN projection
234,183,Republik Afrika Tengah,622436,240,4737423,761,1.971,"July 1, 2018",UN projection
235,184,Kazakhstan,[convert: invalid number],18592700,669,1.733,"January 4, 2020",Official monthly estimate,
236,–,Niue (New Zealand),261,101,1613,618,1.601,"September 10, 2011",Final 2011 census result
237,185,Canada,9.984.670,3.855.103,38.851.210,389,1008,"April 10, 2023",Official estimate
238,186,Botswana,581730,225,2302878,396,"1.025,6","July 1, 2018",Official projection
239,187,Mauritania,[convert: invalid number],3984233,387,"1.002,3","July 1, 2018",Official projection Diarsipkan 2021-02-25 di Wayback Machine.,
240,188,Libya,[convert: invalid number],6470956,366,9479,"July 1, 2018",UN projection,
241,189,Guyana,214999,83,782225,364,9428,"July 1, 2018",UN projection
242,190,Islandia,102775,40,366130,356,9220,"March 31, 2020",Official quarterly estimate
243,191,Suriname,163820,63,568301,347,8987,"July 1, 2018",UN projection
244,192,Australia,7.692.024,2.969.907,26.810.537,349,903,"April 10, 2023",Official estimate
245,193,Namibia,825118,319,2413643,293,7589,"July 1, 2018",Official projection
246,–,French Guiana (France),86504,33,244118,282,7304,"July 1, 2013",Official estimate
247,–,Western Sahara[note 11],252120,97,567421,225,5827,"July 1, 2018",UN projection
248,194,Mongolia,[convert: invalid number],3238479,207,5361,"December 31, 2018",Official estimate,
249,–,Kepulauan Pitcairn (United Kingdom),473,183,56,119,3082,"September 20, 2016",2013 census result
250,–,Kepulauan Falkland (United Kingdom),12173,5,2563,021,5439,"April 15, 2012",2012 census result
251,–,Templat:SJM (Norway),61399,24,2655,004,1036,"September 1, 2012",Official estimate
252,–,Greenland (Denmark),[convert: invalid number],55877,003,777,"January 1, 2018",Official estimate,
253,Rank,Country (or dependent territory),km2,mi2,Population,pop./km2,pop./mi2,Date,Population source
254,Rank,Country (or dependent territory),Area,Area,Population,Density,Density,Date,Population source
