,R a n k i n g   b e r d a s a r k a n   e n t i t a s,E n t i t a s,T i n g k a t   p e n g a n g g u r a n   ( % ),S u m b e r   /   t a n g g a l   d a r i   i n f o r m a s i
175,175,Samoa Amerika (Amerika Serikat),29.8,2005
176,176,Kamerun,30.0,perkiraan 2001.
177,177,Guinea Khatulistiwa,30.0,perkiraan 1998 .
178,178,Libya,30.0,perkiraan 2004 .
179,—,Bumi,30.0,perkiraan 2006.
180,179,Kepulauan Marshall,30.9,perkiraan 2000.
181,180,Serbia,31.6,perkiraan 2005 .
182,181,Yaman,35.0,perkiraan 2003.
183,182,Makedonia,36.0,perkiraan September 2006 .
184,183,Afganistan,40.0,perkiraan 2005 .
185,184,Swaziland,40.0,perkiraan 2006.
186,185,Kenya,40.0,perkiraan 2001.
187,186,Nepal,42.0,perkiraan 2004 .
188,187,Lesotho,45.0,2002
189,188,Bosnia and Herzegovina,45.5,perkiraan 31 Desember 2004 .
190,189,Senegal,48.0,perkiraan 2001 .
191,190,Djibouti,50.0,perkiraan 2004 .
192,191,Zambia,50.0,perkiraan 2000.
193,192,Timor Leste,50.0,perkiraan 2001
194,193,Kepulauan Cocos (Keeling) (Australia),60.0,perkiraan 2000
195,194,Turkmenistan,60.0,perkiraan 2004
196,195,Zimbabwe,80.0,perkiraan 2005
197,196,Liberia,85.0,perkiraan 2003
198,197,Nauru,90.0,perkiraan 2004
