,N o .,R a s,N e g a r a,J e n i s,A s a l,B a d a n,B u l u,P o l a,K e t e r a n g a n,F o t o
50,51.0,Habari,Amerika Serikat,Hibrida,,Besar,Pendek,Tutul,Ras percobaan,
51,52.0,Kucing havana,Britania Raya,Domestik,Alami,Sedang,Pendek,Solid cokelat,,
52,53.0,Kucing dataran tinggi,Amerika Serikat,Hibrida,Persilangan,Sedang/Besar,Pendek/Panjang,Semua,Ras percobaan,
53,54.0,Kucing himalaya,Britania Raya,Domestik,Persilangan,Pendek,Panjang,Warna poin,,
54,55.0,Kucing ikal jaguarundi,Amerika Serikat,Hibrida,Persilangan,Sedang/Besar,Pendek,Solid/Tiktak/Tutul,Ras percobaan,
55,56.0,Kucing jambi,Amerika Serikat,Hibrida,,Pendek,Pendek,Tabi,Ras percobaan,
56,57.0,Kucing ekor bundel jepang,Jepang,Domestik,Alami/Mutasi genetik,Sedang,Pendek/Panjang,"Semua, kecuali warna poin dan tiktak",,
57,58.0,Kucing jawa,Amerika Serikat,Domestik,Mutasi genetik/Persilangan,Oriental,Sedang/Panjang,Warna poin,,
58,59.0,Kucing bundel rimba,Amerika Serikat,Hibrida,,Sedang,Pendek/Sedang/Panjang,Tutul,,Berkas:JungleBob.jpg
59,60.0,Kanaani,Israel,Domestik,Persilangan,Sedang,Pendek,Tutul/Tabi klasik,,
60,61.0,Kucing ekor bundel karelia,Rusia,Domestik,Alami/Mutasi genetik,Sedang,Pendek/Sedang,,,
61,62.0,Kucing kashmir,Amerika Serikat,Domestik,Persilangan,Sedang,Panjang,Semua,,Berkas:Kucing Kashmir.jpg
62,63.0,Khao manee,Thailand,Domestik,Alami,Sedang,Pendek,Solid putih,,
63,64.0,Kinkalow,Amerika Serikat,Hibrida,,Kerdil,Pendek/Sedang,Semua,,
64,65.0,Kohana,Amerika Serikat,Domestik,Mutasi genetik,Oriental,Tanpa bulu,Semua,,Berkas:Kohana.jpg
65,66.0,Korat,Thailand,Domestik,Alami,Sedang,Pendek,Solid biru,,
66,67.0,Kucing ekor bundel kurilia,Rusia,Domestik,Alami,Setengah pendek,Pendek/Panjang,Semua,,
67,68.0,Lambkin,Amerika Serikat,Domestik,Persilangan,Kerdil,Pendek/Panjang,Semua,Ras percobaan,Berkas:Lambkin.jpg
68,69.0,Laperm,Amerika Serikat,Domestik,Mutasi genetik,Sedang,Rex,Semua,,
