,N o m o r,B a h a s a   I n d o n e s i a,B a h a s a   T a w o y a n
123,124.0,usap,pusut
124,125.0,satu,erai
125,126.0,dua,due
126,127.0,tiga,tolu
127,128.0,empat,opat
128,129.0,lima,lime
129,130.0,enam,onem
130,131.0,tujuh,turu
131,132.0,delapan,walo
132,133.0,sembilan,ise
133,134.0,sepuluh,sepuluh
134,135.0,sebelas,sebelas
135,136.0,dua belas,dua belas
136,137.0,dua puluh,dua pulu
137,138.0,dua puluh satu,due pulu erai
138,139.0,dua puluh lima,due pulu lime
139,140.0,lima puluh,lime pulu
140,141.0,enam puluh,onem pulu
141,142.0,seratus,seratus; jatus
142,143.0,seribu,seribu
143,144.0,separuh,separu
144,145.0,seperempat,seperopat
145,146.0,sejuta,sejuta; erai juta
146,147.0,aku,aap
147,148.0,kamu/engkau,iko/ko
148,149.0,ia,ie
149,150.0,kami,kain
150,151.0,kamu sekalian,ikam; ikan ohah
151,152.0,kamu berdua,ikam due
152,153.0,bapak,uma
153,154.0,anak,nekia; anak
154,155.0,ibu,ine
155,156.0,kakek,kakah
156,157.0,nenek,itak
157,158.0,suami,bane
158,159.0,istri,sao
159,160.0,lelaki,soong
160,161.0,perempuan,bawe
161,162.0,orang,ulun
162,163.0,cucu,opo
163,164.0,apa,oon
164,165.0,bagaimana,ngeteme; ngunaueme
165,166.0,bagaimanakah,ngetemekah
166,167.0,apakah,oonkah
167,168.0,berapa,pire
168,169.0,mana,tame; tangareme
169,170.0,di mana,tangar me
170,171.0,di manakah,tai eme kah
171,172.0,siapakah,ense nge
172,173.0,siapa,ense
173,174.0,berapakah,pire kah/nge
174,175.0,bilamana,engkar me; amun
175,176.0,ini,ehe
176,177.0,itu,iro
177,178.0,di sini,tai ehe
178,179.0,di situ,tai iro
179,180.0,beberapa,pepire
180,181.0,di dalam,tai suang
181,182.0,di,tai; tangar
182,183.0,dan,lukun
183,184.0,pada,tai; tangar
184,185.0,dari,neke
185,186.0,kalau,amun
186,187.0,kepada,tong
187,188.0,sebagai,ngunau
188,189.0,meskipun,bele nge
189,190.0,tentang,leen
190,191.0,"karena, sebab","gunen, awing"
191,192.0,lain,"lain, ba, bali"
192,193.0,selain,rai bali
193,194.0,dengan,lukun
194,195.0,yang,"rai, erai"
